Row,mean,std
px,0.267160742572961,0.169068582755336
py,0.391546860290695,0.227624098211054
theta,0.114473684962366,0.0952571150338705
phi,0.0257374640357106,0.0198289997955945
v,0.0254405195957564,0.0189661258528468
