Row,mean,std
px,0.00594936714884157,0.00490261104528088
py,0.0116637005606322,0.00910328187001935
theta,0.00503141688857484,0.00379064183917126
phi,0.00771801028590845,0.00599930721916985
v,0.0078390039717463,0.00607970055948876
