Row,mean,std
px,0.568806045004607,0.509053401957076
py,0.366027185631602,0.291829662585989
theta,0.115123667970382,0.101675941895813
phi,0.0257501623929029,0.0198356158592186
v,0.025462871827889,0.0189702910759509
