Row,mean,std
px,0.398740281214647,0.251207788641711
py,0.23522506976625,0.162121119251384
theta,0.113015392742514,0.0787231053729511
phi,0.0257436348097759,0.0198286383600552
v,0.0254640242157736,0.0189701286022338
